CarPark,Category,Saturday_Rate,Sunday_PublicHoliday_Rate,WeekDays_Rate_1,WeekDays_Rate_2,_id,address,car_park_basement,car_park_decks,car_park_no,car_park_type,coordinates,free_parking,gantry_height,geometries,lat,lon,name,night_parking,parkingSystem,ppCode,ppName,rate,rateRange,schedules,short_term_parking,source,type,type_of_parking_system,x_coord,y_coord
,,,,,,1558,BLK 632/641 YISHUN STREET 61,N,0,Y35,SURFACE CAR PARK,"[103.8384736027953, 1.4196937925051833]",SUN & PH FR 7AM-10.30PM,4.50,,,,,NO,,,,,,,7AM-10.30PM,,Point,COUPON PARKING,28573.7168,44608.1172
,,,,,,1557,BLK 614-618 YISHUN STREET 61,N,0,Y34A,SURFACE CAR PARK,"[103.83606527251655, 1.4192686027069505]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28305.7045,44561.1014
,,,,,,1556,BLK 606-631 YISHUN STREET 61/RING ROAD,N,0,Y34,SURFACE CAR PARK,"[103.83617533090712, 1.4208175337537667]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28317.9522,44732.3744
,,,,,,1555,BLK 602-605 YISHUN STREET 61,N,0,Y33,SURFACE CAR PARK,"[103.8361094731562, 1.4222290396672344]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28310.6230,44888.4516
,,,,,,1554,BLK 858/864 YISHUN AVE 4,N,0,Y32,SURFACE CAR PARK,"[103.83859899683272, 1.4174848128369664]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28587.6719,44363.8594
,,,,,,1553,BLK 850/855 YISHUN STREET 81/RING ROAD,N,0,Y31,SURFACE CAR PARK,"[103.83674051708878, 1.4166637018296442]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28380.8499,44273.0647
,,,,,,1552,BLK 848A YISHUN STREET 81,N,9,Y30M,MULTI-STOREY CAR PARK,"[103.83575109329625, 1.4165569356848375]",SUN & PH FR 7AM-10.30PM,1.80,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28270.7412,44261.2589
,,,,,,1551,BLK 848 YISHUN STREET 81,N,0,Y30,SURFACE CAR PARK,"[103.8352306166305, 1.4164575067849354]",SUN & PH FR 7AM-10.30PM,9.99,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28212.8196,44250.2645
,,,,,,1550,BLK 115A/115B/115C YISHUN RING ROAD,Y,1,Y3M,BASEMENT CAR PARK,"[103.82746948301612, 1.4335440154148114]",SUN & PH FR 1PM-10.30PM,2.10,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27349.1212,46139.6053
,,,,,,1549,BLK 112/120 YISHUN RING ROAD,N,0,Y3,SURFACE CAR PARK,"[103.82888618800919, 1.434710755527372]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27506.7793,46268.6172
,,,,,,1548,BLK 846 YISHUN RING ROAD,N,0,Y29,SURFACE CAR PARK,"[103.83453507753215, 1.4172025575244929]",NO,9.99,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28135.4160,44332.6484
,,,,,,1547,BLK 840A YISHUN STREET 81,N,12,Y28M,MULTI-STOREY CAR PARK,"[103.83437113560201, 1.4154446179203983]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28117.1717,44138.2643
,,,,,,1546,BLK 832/841 YISHUN STREET 81,N,0,Y28,SURFACE CAR PARK,"[103.83400775310436, 1.4156275518878683]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28076.7324,44158.4922
,,,,,,1545,BLK 821/830 YISHUN STREET 81,N,0,Y27,SURFACE CAR PARK,"[103.83362315020037, 1.414209042658651]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28033.9316,44001.6406
,,,,,,1544,BLK 816/820 YISHUN STREET 81,N,0,Y26,SURFACE CAR PARK,"[103.83383714394964, 1.4128622113731568]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28057.7461,43852.7148
,,,,,,1543,813 YISHUN RING ROAD,N,8,Y25M,MULTI-STOREY CAR PARK,"[103.8326527127845, 1.4177122283035541]",NO,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27925.9358,44389.0052
,,,,,,1542,BLK 800-812 YISHUN RING ROAD,N,0,Y25,SURFACE CAR PARK,"[103.83100817012445, 1.4166933952536596]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27742.9217,44276.3479
,,,,,,1541,BLK 795-799 YISHUN RING ROAD,N,0,Y24,SURFACE CAR PARK,"[103.83331724503833, 1.419088227140948]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27999.8887,44541.1562
,,,,,,1540,BLK 775-794 YISHUN RING RD/AVENUE 2,N,0,Y23,SURFACE CAR PARK,"[103.83207922611483, 1.4215927495671759]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27862.1152,44818.0937
,,,,,,1539,"BLK 1001/1019,1023/1024 YISHUN INDUSTRIAL PARK A",N,0,Y22,SURFACE CAR PARK,"[103.83389961355638, 1.4416751375774517]",SUN & PH FR 7AM-10.30PM,0.00,,,,,NO,,,,,,,7AM-10.30PM,,Point,COUPON PARKING,28064.6973,47038.7031
,,,,,,1538,BLK 296A YISHUN STREET 20,N,12,Y21M,MULTI-STOREY CAR PARK,"[103.83485367584981, 1.4353591954331881]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28170.8701,46340.3180
,,,,,,1537,BLK 290/292 YISHUN ST 22,N,0,Y21A,SURFACE CAR PARK,"[103.83462066563563, 1.4370627763627002]",SUN & PH FR 7AM-10.30PM,9.99,,,,,YES,,,,,,,WHOLE DAY,,Point,COUPON PARKING,28144.9395,46528.6914
,,,,,,1536,BLK 290/292 YISHUN STREET 22,N,0,Y21,SURFACE CAR PARK,"[103.83715484093817, 1.4369013373439161]",SUN & PH FR 7AM-10.30PM,9.99,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28426.9545,46510.8406
,,,,,,1535,BLK 293/294 YISHUN STREET 22,N,0,Y20,SURFACE CAR PARK,"[103.83785550280423, 1.4362613892635696]",SUN & PH FR 7AM-10.30PM,9.99,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28504.9276,46440.0785
,,,,,,1534,BLK 103/111 YISHUN RING ROAD,N,0,Y2,SURFACE CAR PARK,"[103.82805855629336, 1.432165887617685]",SUN & PH FR 1PM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27414.6758,45987.2187
,,,,,,1533,BLK 265/289 YISHUN STREET 22/AVENUE 6,N,0,Y19,SURFACE CAR PARK,"[103.83815719597736, 1.4377597168199396]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28538.5011,46605.7561
,,,,,,1532,BLK 258/264 YISHUN STREET 22,N,0,Y18,SURFACE CAR PARK,"[103.83951154950749, 1.4357467010894103]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28689.2205,46383.1673
,,,,,,1531,BLK 243/257 YISHUN RING ROAD/AVENUE 9,N,0,Y17,SURFACE CAR PARK,"[103.84116073501342, 1.4350627772357387]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28872.7500,46307.5430
,,,,,,1530,BLK 236/238 YISHUN RING ROAD,N,0,Y16A,SURFACE CAR PARK,"[103.83914478451766, 1.43375263328173]",SUN & PH FR 7AM-10.30PM,4.30,,,,,YES,,,,,,,WHOLE DAY,,Point,COUPON PARKING,28648.4057,46162.6732
,,,,,,1529,BLK 238/242 YISHUN RING ROAD,N,0,Y16,SURFACE CAR PARK,"[103.83943795550648, 1.4330614200349634]",SUN & PH FR 7AM-10.30PM,4.30,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28681.0314,46086.2424
,,,,,,1528,BLK 227/235 YISHUN STREET 21,N,0,Y15,SURFACE CAR PARK,"[103.83681399019765, 1.4346474870165054]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28389.0234,46261.6211
,,,,,,1527,BLK 223/226 YISHUN STREET 21,N,0,Y14A,SURFACE CAR PARK,"[103.83553165088503, 1.4345380768786509]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,COUPON PARKING,28246.3185,46249.5229
,,,,,,1526,"BLK 203/206, 213/222 YISHUN STREET 21",N,0,Y14,SURFACE CAR PARK,"[103.83566089122955, 1.432672972935784]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28260.7012,46043.2891
,,,,,,1525,"BLK 201/202, 207/212 YISHUN STREET 21",N,0,Y13,SURFACE CAR PARK,"[103.83786458576994, 1.4312142289932455]",NO,5.40,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28505.9395,45881.9889
,,,,,,1524,"BLK 165/167,170/175 YISHUN RING ROAD/AVENUE 7",N,0,Y12,SURFACE CAR PARK,"[103.8324712150633, 1.4367960760721756]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27905.7385,46499.2010
,,,,,,1523,BLK 717/730 YISHUN STREET 71,N,0,Y11,SURFACE CAR PARK,"[103.8299541777629, 1.4257747945514487]",SUN & PH FR 7AM-10.30PM,5.40,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27625.6289,45280.5234
,,,,,,1522,BLK 753/774 YISHUN STREET 72/AVENUE 3,N,0,Y10,SURFACE CAR PARK,"[103.83328194206621, 1.423842090983457]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27995.9600,45066.8145
,,,,,,1521,BLK 101/102 YISHUN AVE 5,N,0,Y1,SURFACE CAR PARK,"[103.82803540525312, 1.430843875891854]",SUN & PH FR 1PM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27412.0991,45841.0373
,,,,,,1520,BLK 11/12/13 YORK HILL CAR PARK,N,0,YHS,SURFACE CAR PARK,"[103.83788639322755, 1.2864999580934673]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28508.3965,29880.2227
