Inter-continental Hotel,Hotels,8am-5pm: $1.07 for 1st hr; $0.37 for sub. 10mins (Car park at Parco Bugis Junction),Mon-Thu: Aft 5pm: $2.50 per entry. Fri: $2.50 for 1st 2hrs; $0.25 for sub. 10 mins,$2.50 for 1st 2hrs; $0.25 for sub. 10 mins,Same as Saturday,1.297966,103.854767
"klapsons, The Boutique Hotel",Hotels,6.30am to 6.30pm - first 3 hours at $3.00 and subsequent half an hour at $1.50,6.30pm to 6.30am - $ 4.00 flat,After 2pm - $4.00 flat,$4.00 flat,1.273803,103.842199
Landmark Village Hotel (Formally Golden Landmark Hotel),Hotels,8am-5pm: $1.90 for 1st hr; $1.07 for sub. ½ hr,Aft 5pm: $2.14 per entry,Same as wkdays,$2.14 per entry,1.302168,103.857795
M Hotel,Hotels,7am-6pm: $1.50 per ½ hr,Aft 6pm: $3 per entry,"Charges same as wkdays, but $3 per entry after 1pm",$3 per entry,1.2736919,103.8449023
Mandarin Orchard Singapore,Hotels,7am-6pm: $3.50 for 1st hr; $1.20 for sub. ½ hr,Aft 6pm: $6 per entry,Same as wkdays,Same as wkdays,1.3020645,103.836341
Mandarin Oriental Hotel,Hotels,Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.40 for 1st 2 hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr,Same as Saturday,1.2906606,103.858324
Marina Bay Sands,Hotels,7am-7pm: $6 for 1st hr; $1 for sub. hr; (Capped at $26 every 24hrs),Aft 7pm: $6 per entry,Same as wkdays,Same as wkdays,1.2836965,103.8607226
Marina Mandarin Hotel,Hotels,Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr for sub. ½ hr,Fri-Sun/PH: 7am-2am :$2.40 for 1st 2hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr for sub. ½ hr,Same as Saturday,1.2916812,103.857162275
Novotel Clarke Quay,Hotels,7am-5pm: $1.07 per hr,Aft 5pm: $3.21 per entry,7am-1pm: $1.07 per hr; Aft 1pm: $3.21 per entry,$3.21 per entry,1.2915148,103.8445863
One Fullerton,Hotels,7am-6pm: $2.50 per ½ hr,After 6pm: $5 per entry,$5 per entry,$5 per entry,1.28570085,103.853944096761
Orchard Grand Court Hotel,Hotels,7am-5pm: $2.50 per hr,Aft 5pm: $3 per entry,Same as wkdays,$3 per entry,1.29735465,103.838460510348
Orchard Hotel Shopping Arcade,Hotels,7am-6pm: $5 for 1st hr; $1.50 for sub. ½ hr,Aft 6pm: $5.50 per entry,Same as wkdays,$5 per entry,1.301508,103.837839
Orchard Parade Hotel,Hotels,7am-5pm: $4 for 1st hr; $1.50 for sub. ½ hr,Aft 6pm: $4 per entry,Same as wkdays,$4 per entry,1.3065524,103.8278105
